Ticker,Company,score,Close,Market Cap,Change 1M,total yield,ms debt,roic v2,book price,sic,price251ago,opInc,fcf yield,dolVol,comStockEq,ms cem,total return,spitz roic,ms ce,momentum,Sector,Industry,Description,rebalance
AAPL,Apple,0.00,111.06,609163486529.94,-4.51,0.07,87032001731.00,0.41,0.22,194797002476.43,115.95,60023999917.99,0.09,3942168593.76,128249002132.18,67155000072.65,-0.02,0.31,20484000076.70,0.93,Technology,Computer Hardware,Designs and develops hardware and software systems,False
GOOGL,Alphabet,0.00,811.98,552609371893.45,0.30,0.01,3938000070.58,0.41,0.24,128635002231.52,804.90,22456999936.96,0.04,1215350927.45,134103000781.74,83055999197.25,0.01,0.18,9405999858.15,0.97,Technology,Online Media,Offers online advertising services,False
MSFT,Microsoft,0.00,60.47,448848897414.11,5.74,0.06,74690001112.58,2.41,0.15,131134004467.36,47.46,19614000366.99,0.06,1446942874.05,70372001200.19,136932002561.31,0.30,0.15,13928000042.95,0.99,Technology,Application Software,Offers software and hardware products and services,False
XOM,Exxon Mobil,0.00,85.31,361919618265.09,-2.77,0.04,46154999967.93,0.05,0.48,211659003189.18,81.72,10297999997.22,0.00,896789348.80,170597002584.78,5093000063.17,0.08,0.05,5093000063.17,0.90,Energy,Oil & Gas - Integrated,"Produces, transports & sells oil and natural gas",False
JNJ,Johnson & Johnson,0.00,117.05,323189125000.65,-0.50,0.05,26988999712.38,0.33,0.23,81553000582.14,101.67,19682000018.13,0.04,765916397.00,72768999735.12,40432999255.57,0.18,0.24,18205000375.04,0.93,Healthcare,Drug Manufacturers,Manufactures health care products,False
GE,General Electric,0.00,29.42,265431724989.13,1.73,0.03,149399997037.81,0.00,0.32,132399998008.61,31.74,127000295.89,-0.01,940328368.56,81900001540.67,98899998394.46,-0.04,0.00,98899998394.46,0.89,Industrials,Industrial Products,Provides infrastructure & financial services,False
T,AT&T,0.00,36.99,249832723449.01,-5.40,0.05,125220999418.79,0.11,0.54,242937007159.32,24.18,27630999833.44,0.07,936160285.32,123611002420.67,5895000003.29,0.61,0.11,5895000003.29,0.85,Communication Services,Communication Services,Provides communication services,False
JPM,JPMorgan Chase,0.00,70.03,240521905941.33,2.52,0.06,346155001423.84,0.06,0.91,156827997671.90,66.56,33228000146.58,-0.01,926721461.68,228263004680.42,,0.08,0.21,417590007949.72,1.00,Financial Services,Banks,Provides financial & banking services,False
PG,Procter & Gamble,0.00,87.46,239520413297.84,-1.22,0.06,31124999767.47,0.18,0.25,80901999481.46,72.03,13443999860.80,0.05,1956718611.81,57232998836.89,14070999713.06,0.25,0.17,7456000063.17,0.97,Consumer Defensive,Consumer Packaged Goods,Provides consumer packaged goods,False
WFC,Wells Fargo,0.00,45.54,223416825082.82,0.20,0.06,379503005812.27,0.06,0.78,538650020906.09,64.09,32713999883.94,-0.04,1251752056.70,178434001980.51,,-0.27,0.06,19286999913.00,0.81,Financial Services,Banks,A diversified financial services company,False
WMT,Wal-Mart Stores,0.00,69.79,223085730616.93,3.56,0.06,47491000275.63,0.21,0.35,116339999367.47,50.86,23796000413.26,0.10,629581359.28,76524998927.07,7676000002.45,0.40,0.21,7676000002.45,0.94,Consumer Defensive,Retail - Defensive,Mass merchandiser of consumer products,False
VZ,Verizon Communications,0.00,47.65,211886171771.92,-4.51,0.05,106590997980.77,0.24,0.11,120609997694.80,42.00,28779999898.73,0.06,655415897.03,20459999780.56,6440999917.03,0.19,0.24,6440999917.03,0.84,Communication Services,Communication Services,Provider of communications services,False
BUD,Anheuser-Busch InBev,0.00,115.60,211307277763.35,-9.81,0.04,108686001901.87,0.09,0.15,136526005316.35,117.92,6889000070.62,0.04,172530580.29,33889999739.96,62032000899.86,0.01,0.05,6049999880.17,0.87,Consumer Defensive,Beverages - Alcoholic,"Produces, markets, distributes and sells beer",False
PFE,Pfizer,0.00,30.00,205443649679.26,-9.45,0.07,44180999095.54,0.15,0.35,103513997176.26,41.22,13212999693.55,0.07,676800655.36,62743999804.77,20942000007.56,-0.24,0.13,3411000007.67,0.80,Healthcare,Drug Manufacturers,A research-based biopharmaceutical company,False
RYDAF,Royal Dutch Shell,0.00,25.65,201724145309.70,0.39,0.06,97829000194.90,0.02,0.91,264731001988.08,25.61,4544000066.64,-0.04,3102379.37,186885999976.64,19984000384.13,0.06,0.02,19984000384.13,0.91,Energy,Oil & Gas - Integrated,An integrated oil and gas company,False
V,Visa,0.00,82.88,195238987819.38,1.02,0.04,15881999679.43,0.23,0.14,37457999827.56,78.60,7882999875.71,0.02,655373703.04,27195000030.75,8938000161.68,0.06,0.21,5618999899.03,0.99,Financial Services,Credit Services,A payment technology company,False
NVS,Novartis,0.00,71.28,188019549833.87,-7.20,0.04,26566000510.27,0.08,0.44,101549998792.13,90.60,8489999867.26,0.05,159780941.62,74983999576.29,,-0.18,0.08,,0.81,Healthcare,Drug Manufacturers,Manufactures pharmaceuticals products,False
KO,Coca-Cola,0.00,42.88,182654368409.84,3.23,0.05,47223999879.45,0.18,0.14,62152999662.92,40.22,8788999781.02,0.03,502632510.26,26076000133.80,25569000174.10,0.10,0.14,11146999887.24,0.91,Consumer Defensive,Beverages - Non-Alcoholic,Manufactures & distributes beverages and syrups,False
INTC,Intel,0.00,34.74,178595248484.51,-6.79,0.04,27615999572.90,0.17,0.38,85979000467.02,30.13,12646999912.88,0.06,770758793.76,63115000091.85,17769000230.59,0.19,0.15,4752000064.30,0.91,Technology,Semiconductors,A semiconductor chip maker,False
MRK,Merck & Co,0.00,60.51,172576640491.11,-2.29,0.05,25143000509.49,0.15,0.26,60980000461.28,49.34,8208999910.67,0.06,602756166.89,43743999870.95,13066999967.79,0.26,0.14,7907000148.62,0.95,Healthcare,Drug Manufacturers,A health care company,False
ORCL,Oracle,0.00,39.13,161266670058.28,2.95,0.07,54056000822.43,0.38,0.30,73274000297.21,41.11,12591000211.77,0.08,449935265.55,47832000235.62,68396001226.47,-0.03,0.17,28613999969.85,0.94,Technology,Application Software,An enterprise software company,False
CMCSA,Comcast,0.00,62.52,160000516133.27,-3.76,0.05,60428001161.32,0.15,0.36,111101999552.25,60.98,16597000014.03,0.05,578049398.48,53481000027.35,2806999991.89,0.04,0.15,2806999991.89,0.92,Communication Services,Communication Services,A media and technology company,False
BAC,Bank of America,0.00,17.00,159705101628.27,5.53,0.04,252024997273.15,0.04,1.43,344947989792.99,21.76,21778999940.22,0.17,1337821453.05,244862997228.29,,-0.21,0.06,151939999266.70,0.95,Financial Services,Banks,Provides financial services & products,False
CSCO,Cisco Systems,0.00,31.00,159055303665.81,-0.13,0.05,28643000040.89,0.48,0.41,84598001294.84,20.21,12659999723.70,0.08,645535826.56,63586001091.70,65755999065.94,0.58,0.15,7631000134.61,0.97,Technology,Communication Equipment,Manufactures IP based networking products,False
HD,Home Depot,0.00,124.25,158993624845.88,-1.27,0.06,20942999885.81,0.54,0.04,23581999172.97,125.06,12710000201.81,0.06,616126763.90,6657000022.27,4018000035.85,0.01,0.54,4018000035.85,0.90,Consumer Cyclical,Retail - Apparel & Specialty,A home improvement retailer,False
PEP,PepsiCo,0.00,108.72,156537197244.88,2.98,0.05,35621000669.43,0.24,0.08,38182000813.52,98.71,8239000051.50,0.05,415319079.32,12206999892.66,13378999866.92,0.13,0.22,9646000000.98,0.99,Consumer Defensive,Beverages - Non-Alcoholic,"A food, snack and beverage company",False
IBM,IBM,0.00,155.17,151835853509.21,0.25,0.06,42482999889.18,0.25,0.12,50454000412.11,140.63,12595999919.09,0.10,529703634.41,17010000118.15,9967999873.10,0.14,0.25,9038999981.77,0.95,Technology,Application Software,An information technology company,False
PM,Philip Morris Intl,0.00,97.86,150820008851.01,2.45,0.04,30087000524.53,0.77,-0.08,13061000667.14,82.68,10103999935.33,0.04,383446725.56,-12141999792.11,4884000051.20,0.23,0.77,4884000051.20,0.94,Consumer Defensive,Tobacco Products,Manufactures and sells cigarettes,False
DIS,Walt Disney,0.00,94.38,149235414781.99,2.74,0.08,20441000185.88,0.25,0.29,59407000242.30,114.00,14645000395.38,0.05,654928814.45,44192999182.58,5226999984.18,-0.16,0.25,5226999984.18,0.79,Consumer Cyclical,Entertainment,A diversified entertainment company,False
HSBC,HSBC Holdings,0.00,38.38,149033386470.03,2.05,0.07,50679999234.07,0.05,1.24,78069996195.67,41.61,12470000243.99,0.29,87340363.53,191257000831.31,,-0.02,0.16,163867003309.43,0.94,Financial Services,Banks,Provides banking and financial services,False
C,Citigroup,0.00,49.91,137220813089.98,1.88,0.06,238578003647.52,0.05,1.49,294910010476.90,60.47,21184999715.74,0.16,812344492.73,212321998713.86,,-0.17,0.07,155989997136.93,0.91,Financial Services,Banks,Offers financial products and services,False
UNH,UnitedHealth Group,0.00,142.90,133334799219.53,6.05,0.02,33223999747.33,0.22,0.27,55110998343.63,119.59,12211000010.39,0.06,451284681.59,37553999553.62,15667000002.92,0.21,0.22,15667000002.92,0.98,Healthcare,Health Care Plans,Provides health and well-being services,False
