Ticker,Company,score,Close,Market Cap,Change 1M,total yield,ms debt,roic v2,book price,sic,price251ago,opInc,fcf yield,dolVol,comStockEq,ms cem,total return,spitz roic,ms ce,momentum,Sector,Industry,Description,rebalance
DD,E.I. du Pont de Nemours,0,69.26,58553545945.41,0.46,0.03,11356000156.93,0.19,0.16,16417999988.64,64.86,2892999992.35,0.03,183223497.72,9514000033.31,5531999915.68,0.09,0.18,4452000010.73,0.93,Basic Materials,Agriculture,A science and technology based company,False
DOW,Dow Chemical,0,53.43,58403614653.4,-0.17,0.04,21291999674.27,0.13,0.42,39294999803.92,50.1,5032000045.36,0.03,317451662.03,25035000219.44,7032000010.63,0.1,0.13,7032000010.63,0.94,Basic Materials,Chemicals,Manufactures chemical and plastic products,False
MON,Monsanto,0,99.44,44720219322.12,-3.77,0.09,9039999988.11,0.2,0.1,11898000085.39,92.35,2375000012.38,0.04,373432763.65,4534000078.38,1735999970.61,0.1,0.2,1676000016.95,0.88,Basic Materials,Agriculture,Provider of agricultural products,False
ECL,Ecolab,0,113.6,35492975986.37,-3.04,0.04,6662599867.95,0.13,0.21,13351599944.94,115.96,1680899959.46,0.04,94336628.12,6869600075.97,180600002.85,-0.01,0.13,180600002.85,0.92,Basic Materials,Chemicals,Provides cleaning and sanitizing products,False
PX,Praxair,0,117.85,34464540141.05,0.62,0.03,9841999820.07,0.16,0.16,14459999999.75,112.25,2262999963.49,0.04,147139033.21,5244999934.93,626999992.61,0.08,0.16,626999992.61,0.96,Basic Materials,Chemicals,An industrial gases supplier,False
APD,Air Products & Chemicals,0,136.93,32556082425.16,3.23,0.03,6225200023.78,0.18,0.24,11803499833.57,128.6,2088399968.37,0.04,236733588.31,7079600013.74,1501300009.93,0.09,0.18,1501300009.93,0.94,Basic Materials,Chemicals,Supplier of hydrogen and helium,False
PPG,PPG Industries,0,94.74,27522938481.64,2.64,0.04,4404000022.4,0.26,0.2,8505999977.86,101.05,2183000017.07,0.05,169437848.57,5031000019.53,974999989.05,-0.05,0.26,929000004.13,0.81,Basic Materials,Chemicals,"Manufactures coatings, optical and glass products",False
SHW,Sherwin-Williams,0,252.19,25514057835.6,-5.69,0.02,1961717015,0.62,0.07,2856930973.31,256.87,1766740955.27,0.05,238497574.37,1597782999.37,702569011.86,-0.01,0.62,702569011.86,0.81,Basic Materials,Chemicals,"Manufactures paint, coatings and related products",False
WY,Weyerhaeuser,0,29.38,23914489066,-4.49,0.14,8822000064.2,0.05,0.42,17243000350.32,28.9,934999998.69,0.04,106223780.4,9190000185.38,768999992.69,0.06,0.05,768999992.69,0.89,Basic Materials,Forest Products,Owns timberlands,False
NEM,Newmont Mining,0,36.06,20847060730.03,6.53,0,5115999967.64,0.08,0.58,14118999621.51,-70.47,1122000008.36,0.06,261630078.83,11101999815.87,2179000007.8,-1.51,0.08,2098999964.03,0.79,Basic Materials,Metals & Mining,A gold exploration & production company,False
SCCO,Southern Copper,0,28.79,20348811151.12,9.97,0.04,5953499879.82,0.12,0.25,11138299832.52,21.37,1281100010.51,-0.02,24063261.65,5696299942.08,612299992.84,0.36,0.12,511499995.61,0.95,Basic Materials,Metals & Mining,A producer of copper,False
TS,Tenaris,0,28.6,16763622642.17,-0.38,0.03,745959003.42,0,0.68,11761694911.86,15.91,12930999.48,0.01,68464171.49,11484348803.98,2299202955.17,0.85,0,468612997.1,0.96,Basic Materials,Steel,Manufacturer & supplier of steel pipe products,False
NUE,Nucor,0,51.37,15742687731.79,8.38,0.03,4368141939.47,0.11,0.46,10390681028.4,28.24,1093372978.81,0.09,133882418.51,7727246131.11,2354706978.62,0.87,0.11,1704707034.38,0.9,Basic Materials,Steel,Manufacturer of steel and steel products,False
VMC,Vulcan Materials,0,119.73,15134236675.81,12.2,0.02,1983769992.05,0.11,0.28,6352374787.65,100.11,678821013.48,0.01,136902139.93,4503969931.66,135364999.45,0.2,0.11,135364999.45,0.94,Basic Materials,Building Materials,Producer of construction materials,False
AA,Alcoa,0,17.41,13337897736.33,-19.62,0.02,10305999980.35,0.03,1.61,20034000146.31,27.85,529999995.46,0,207322252.66,11590999802.43,1862999985.2,-0.36,0.03,1862999985.2,0.66,Basic Materials,Metals & Mining,Manufactures and engineers lightweight metals,False
IFF,International Flavors,0,126.06,11379246060.52,-6.95,0.03,1491157022.05,0.23,0.17,2625037077.21,115.1,609426986.39,0.04,60360158.69,1673872015.74,539992004.98,0.12,0.23,539992004.98,0.88,Basic Materials,Chemicals,Supplier of flavors and fragrances,False
MLM,Martin Marietta Materials,0,202.01,11362297904.13,19.4,0.04,1764800033.26,0.11,0.32,5862499985.48,170.46,649232987.84,0.02,135154439.13,4158399935.89,60700000.94,0.19,0.11,60700000.94,0.98,Basic Materials,Building Materials,Producer of aggregates for construction industry,False
MAS,Masco,0,30.46,11329662726.64,-8.34,0.04,2995999948.89,0.57,-0.01,1856999932.51,24.7,1049999984.94,0.05,129692486.14,-98000000.4,1041000013.44,0.25,0.57,1041000013.44,0.83,Basic Materials,Building Materials,Manufactures building materials,False
EMN,Eastman Chemical,0,72.64,9997147240.5,11.22,0.04,6608000120.83,0.12,0.42,10845000311.61,66.78,1302999983.42,0.09,96779768.97,4444000059.9,207000003.84,0.11,0.12,207000003.84,0.93,Basic Materials,Chemicals,A specialty chemical company,False
CE,Celanese,0,72.92,9633672836.62,11.35,0.05,3015000035.55,0.11,0.26,4473000055.12,70.26,470999996.21,0.08,69780960.6,2710000053.3,1285999984.83,0.06,0.11,1251999985.76,1,Basic Materials,Chemicals,Produces chemicals,False
ALB,Albemarle,0,82.75,9609342695.93,1.26,0.02,3513183024.75,0.11,0.34,6476137034.62,15.85,700697983.89,0.03,85213391.78,3156615059.7,193661003.47,4.3,0.11,193661003.47,0.96,Basic Materials,Chemicals,A specialty chemicals company,False
GOLD,Randgold Resources,0,83.71,9375816476.08,-0.22,0.01,2764999.96,0.11,0.44,3057340082.58,43.3,326002003.55,0.03,92515171.75,3415678050.62,361102996.04,0.95,0.11,361102996.04,0.67,Basic Materials,Metals & Mining,Gold exploration and development company,False
MOS,Mosaic,0,26.18,8565769592.08,5.31,0.05,3876700003.62,0.03,1.07,13059900207.03,43.75,449700001.42,0.03,132985356.85,9836700179.56,653500013.45,-0.38,0.03,653500013.45,0.8,Basic Materials,Agriculture,Producer and marketer of phosphate and potash,False
VAL,Valspar,0,100.96,8417020384.51,-4.34,0.02,1949309974.23,0.2,0.13,2820489018.09,75.73,563968008.44,0.05,45394938.31,1041401988.99,170222996.86,0.35,0.2,170222996.86,0.93,Basic Materials,Chemicals,Manufactures & distributes coatings and paints,False
ASH,Ashland,0,114.97,7200592245.62,1.77,0.08,4086999981.45,0.07,0.38,5605999961.24,111.53,372000007.4,0.05,73516590.37,2733999994.2,1214999993.48,0.05,0.07,1214999993.48,0.93,Basic Materials,Chemicals,A specialty chemicals company,False
RPM,RPM International,0,48.72,7151886060.35,0.81,0.03,1656730000.43,0.2,0.22,2897697950.47,42.32,573924000.52,0.05,29967553.81,1435438006.34,194470002.78,0.18,0.2,194470002.78,0.88,Basic Materials,Chemicals,Manufactures and sells specialty chemical products,False
SQM,Sociedad Quimica Y Minera,0,29.15,7079986613.89,6.04,0.01,158011000.1,0.22,0.3,1835886974.85,-25.9,348430996.11,0.04,16657579.38,2260866993.98,805064997.04,-2.14,0.19,582990989.81,0.98,Basic Materials,Chemicals,A chemical producer,False
WLK,Westlake Chemical,0,51.01,6889908639.33,-6.47,0.04,758453011.89,0.27,0.52,3426618924.51,66.81,817387003.16,0.07,52586180.02,3439162961.26,1123017996.03,-0.23,0.24,770996998.89,0.84,Basic Materials,Chemicals,Produce petrochemicals and plastics,False
FMC,FMC,0,53.36,6468335871.05,12.93,0.01,1976500009.88,0.07,0.29,3966499967.15,20.49,291300002.1,0.03,46013658.27,2120700020.72,130700001.53,1.64,0.07,130700001.53,1,Basic Materials,Chemicals,A diversified chemical company,False
OC,Owens-Corning,0,48.28,6126520552.51,-8.44,0.06,2164000003.76,0.12,0.71,5946999992.7,43.6,701000010.18,0.11,57581924.17,3892999925.79,110000001.19,0.12,0.12,110000001.19,0.87,Basic Materials,Building Materials,Produces glass reinforcements in the form of fiber,False
STLD,Steel Dynamics,0,28.51,6091594858.13,18.15,0.02,2586991977.87,0.07,0.41,4501419987.55,-38.22,290798988.67,0.12,79760839.62,2965917029.09,1051488992.41,-1.76,0.07,1051488992.41,1,Basic Materials,Steel,A steel manufacturer and metals recycler,False
CF,CF Industries Holdings,0,24.34,5676713432.01,3.75,0.05,5539999916.33,0.05,0.68,7845999871.71,72.93,371100002.32,-0.31,138587532.58,3860000026.1,1554000000.5,-0.65,0.05,1554000000.5,0.49,Basic Materials,Agriculture,Manufacturer & distributor of nitrogen & phosphate,False
RS,Reliance Steel & Aluminum,0,69.4,5224324010.15,-0.03,0.02,2105899987.13,0.08,0.82,6086000084.01,50.89,511800007.17,0.11,40314877.04,4123399990.69,143300000.77,0.4,0.08,143300000.77,0.83,Basic Materials,Steel,A metals service center company,False
GRA,W R Grace,0,68.16,5190694482.15,-2.85,0.03,1590199976.7,0.19,0.1,1875799985.12,81.91,361900000.63,0.04,41523774.25,490000006.35,204399996.93,-0.17,0.19,204399996.93,0.85,Basic Materials,Chemicals,Produces & sells specialty chemicals & materials,False
NEU,NewMarket,0,396.71,5086748250.3,-2,0.03,531403992.61,0.45,0.1,820459001.61,396.66,364907000.96,0.04,16865610.81,476962997.82,187908003.37,0.02,0.45,187908003.37,0.9,Basic Materials,Chemicals,Manufactures and sells petroleum additives,False
RGLD,Royal Gold,0,74.92,5053815564.86,15.1,0.01,674028991.12,0.01,0.46,2785803076.04,-23.12,24523999.93,0.02,52368594.3,2244816038.01,133041997.8,-4.28,0.01,133041997.8,0.87,Basic Materials,Metals & Mining,Acquires & manages precious metals royalties,False
SMG,The Scotts Miracle Gro,0,89.15,5046736753.72,6.7,0.04,1316099993.87,0.23,0.15,1996200014.16,55.49,456800005.62,-0.03,34733750.59,730200008.15,50099999.2,0.64,0.23,50099999.2,1,Basic Materials,Agriculture,Manufactures consumer lawn and garden products,False
MDU,MDU Resources Group,0,27.08,4968543291.03,9.95,0.03,1901947973.33,0.08,0.43,4112140952.22,-15.97,332899995.48,0,23307297.4,2270060962.01,59867999.32,-2.74,0.08,59867999.32,1,Basic Materials,Building Materials,Provides construction related materials,False
HUN,Huntsman,0,17.45,3874844881.25,8.12,0.05,4556000028.22,0.08,0.38,5705000188.81,-15.35,444999997.71,0.13,56329459.14,1588000012.72,439000008.82,-2.17,0.08,439000008.82,0.98,Basic Materials,Chemicals,Manufacturer of differentiated chemical products,False
TX,Ternium,0,26.07,3853519622.34,32.67,0.03,1399216982.82,0.2,0.84,5560330024.93,-40.09,1086684023.41,0.13,7322628.22,4310549928.95,339320005.57,-1.67,0.2,149436999.91,0.99,Basic Materials,Steel,Manufactures flat and long steel product,False
EXP,Eagle Materials,0,85.48,3728682245.92,10.41,0.05,469181994.24,0.18,0.27,1513406015.2,60.89,266937000.37,0.06,50771178.21,1098729986.59,54505999.61,0.41,0.18,54505999.61,1,Basic Materials,Building Materials,A basic building material producer,False
BVN,Buenaventura Mining,0,12.1,3517946195.45,-1.71,0,54546999.5,0.02,1.05,3173350063.29,-121.94,55391998.07,0.01,20649238.9,3236046006.61,117242999.17,-1.1,0.02,117242999.17,0.74,Basic Materials,Metals & Mining,A precious metal exploration company,False
SXT,Sensient Technologies,0,74.76,3394385587.82,2.16,0.03,618256998.72,0.12,0.26,1473148026.98,58.89,173942999.3,0.03,13161510.13,878396011.43,23504999.76,0.29,0.12,23504999.76,0.99,Basic Materials,Chemicals,"Manufacturer of colors, flavors & fragrances",False
OLN,Olin,0,22.45,3389167919.44,11.8,0.04,3677800076.42,0.01,0.63,5881499965.16,10.81,54099997.96,0.07,47553374.46,2330699973.55,129500001.81,1.15,0.01,127000000.11,0.85,Basic Materials,Chemicals,Engaged in the chlor alkali industry,False
CBT,Cabot,0,48.85,3269227461.97,-4.37,0.03,926000018.98,0.13,0.42,2000000030.88,30.6,249999996.22,0.13,16249445.06,1274000024.84,199999999.28,0.63,0.13,199999999.28,0.92,Basic Materials,Chemicals,A specialty chemicals company,False
RYN,Rayonier,0,26.61,3260882231.98,4.52,0.05,1065099984.26,0.09,0.42,2316299971.63,13.42,210034006.73,0.04,10412395.04,1361200008.31,110000001.19,1.06,0.09,110000001.19,0.95,Basic Materials,Forest Products,A forest products company,False
WOR,Worthington Industries,0,49.5,3068198067.48,2.78,0.02,579808991.57,0.12,0.27,1254246024.98,-12.74,155954000.04,0.1,20544199.35,855962007.9,181525000.33,-4.94,0.12,181525000.33,1,Basic Materials,Steel,Manufactures & sells metal products,False
POL,PolyOne,0,29.22,2842396543.89,-8.77,0.05,1259500020.73,0.14,0.31,1802699994.21,45.18,255299995.6,0.06,17196521.99,755399989.96,212199996.77,-0.34,0.14,212199996.77,0.77,Basic Materials,Chemicals,Produces & markets specialized polymer materials,False
CMP,Compass Minerals Intl,0,72.7,2490033100.76,0.73,0.04,1212599998.78,0.13,0.27,1447700034.32,84.17,181200002.53,-0.03,22985255.87,667300010.04,432199999.01,-0.1,0.13,432199999.01,0.86,Basic Materials,Metals & Mining,Producer & marketer of mineral products,False
MTX,Minerals Technologies,0,67.35,2462658259.9,-1.17,0,1128200019.24,0.1,0.43,1941899990.3,56.81,202100004.62,0.07,11359057.95,1013399995.43,204799999.89,0.19,0.1,199700003.05,0.93,Basic Materials,Chemicals,Produces specialty minerals,False
BCPC,Balchem,0,68.53,2452002348.32,-11.78,0.01,305458996.43,0.11,0.24,789348001.4,63.44,88469001.23,0.03,8494528.61,516422009.15,32532999.51,0.09,0.11,32532999.51,0.86,Basic Materials,Chemicals,Provides specialty performance ingredients,False
FUL,H.B. Fuller,0,43.49,2339437977.8,-3.18,0.03,711570008.69,0.13,0.44,1534905998.79,32.01,193053002.87,0.07,9538181.05,956438008.13,133102000.78,0.38,0.13,133102000.78,0.89,Basic Materials,Chemicals,Manufactures specialty chemical products,False
UFS,Domtar,0,34.3,2323793515.07,-8.85,0.05,1372000022.49,0.06,1.28,3958000012.82,52.34,242999996.54,0.03,17840761.66,2753999962.5,167999998.03,-0.31,0.06,167999998.03,0.8,Basic Materials,Forest Products,Manufactures and markets fiber-based products,False
HL,Hecla Mining,0,7.17,2202707638.75,40.04,0,517283002.85,0.02,0.5,1753309008.29,-270.2,33939999.49,-0.01,68807582.55,1379638988.66,158682999.85,-1.03,0.02,143612998.8,1,Basic Materials,Metals & Mining,A silver and other metals mining company,False
TNH,Terra Nitrogen Co,0,107.25,2078281995.12,1.75,0.09,,0.83,0.17,294999995.36,112.34,244300001.63,0.13,4317449.23,343699994.98,48700000.28,0.04,0.83,48700000.28,0.85,Basic Materials,Agriculture,Produces & sells nitrogen fertilizer products,False
